Unique ID	Make	Model	Trim	VIN	Color	Mileage	Price	ImgUrl
HJT764A	Jeep	Wrangler	Sport	1C4AJWAG8EL194718	Black	61,008	$22,559	http://www.irwinhyundai.com/assets/inventory/vehicles/1c4ajwag8el194718/ip/thumbs/1-320.jpg
HFT404A	Ford	F-150	XLT	1FTFX1EF8EFC58408	Green	32,789	$26,838	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftfx1ef8efc58408/ip/thumbs/1-320.jpg
HFT390A	Ford	F-150	Ext Cab 4x4	1FTFX1ET8EFB72506	Black	28,530	$30,818	http://www.irwinhyundai.com/assets/inventory/vehicles/1ftfx1et8efb72506/ip/thumbs/1-320.jpg
HJT406B	Chevrolet	Sonic	LT	1G1JD6SH7E4217813	Graphite Silve	3,840	$12,294	http://www.irwinhyundai.com/assets/inventory/vehicles/1g1jd6sh7e4217813/ip/thumbs/1-320.jpg
HFT411A	Chevrolet	Silverado	1500 LT	1GCVKREC8EZ387004	Red	11,077	$34,279	http://www.irwinhyundai.com/assets/inventory/vehicles/1gcvkrec8ez387004/ip/thumbs/1-320.jpg
CP421	Lincoln	MKX	Limited Edition AWD	2LMDJ8JK3EBL13904	White Platinum Metalli	41,446	$27,000	http://www.irwinhyundai.com/assets/inventory/vehicles/2lmdj8jk3ebl13904/ip/thumbs/1-320.jpg
PP202	Toyota	Corolla	N/A	2T1BURHE6EC208298	Red	53,982	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/2t1burhe6ec208298/ip/thumbs/1-320.jpg
CP424	Toyota	Corolla	LE	2T1BURHE9EC126761	Red	33,359	$12,533	http://www.irwinhyundai.com/assets/inventory/vehicles/2t1burhe9ec126761/ip/thumbs/1-320.jpg
HJT767A	Toyota	RAV4	Limited	2T3DFREV5EW166333	Silver	58,563	$19,899	http://www.irwinhyundai.com/assets/inventory/vehicles/2t3dfrev5ew166333/ip/thumbs/1-320.jpg
HJT583B	Toyota	RAV4	XLE	2T3RFREV9EW132529	Blue	53,250	$18,403	http://www.irwinhyundai.com/assets/inventory/vehicles/2t3rfrev9ew132529/ip/thumbs/1-320.jpg
AF2088	Ram	3500	SLT	3C7WRTAL6EG123771	N/A	20,173	$40,349	http://www.irwinhyundai.com/assets/inventory/vehicles/3c7wrtal6eg123771/ip/thumbs/1-320.jpg
HLT835A	Lincoln	MKZ	AWD	3LN6L2JK4ER813096	White	59,832	$22,618	http://www.irwinhyundai.com/assets/inventory/vehicles/3ln6l2jk4er813096/ip/thumbs/1-320.jpg
HJT632A	Subaru	Outback	2.5i	4S4BRBAC0E3217486	Blue	35,241	$21,379	http://www.irwinhyundai.com/assets/inventory/vehicles/4s4brbac0e3217486/ip/thumbs/1-320.jpg
LB811	Toyota	Venza	XLE	4T3BK3BB1EU105748	Gray	39,295	$20,999	http://www.irwinhyundai.com/assets/inventory/vehicles/4t3bk3bb1eu105748/ip/thumbs/1-320.jpg
CP427	Toyota	Camry	LE	4T4BF1FK9ER371794	Silver	30,530	$14,909	http://www.irwinhyundai.com/assets/inventory/vehicles/4t4bf1fk9er371794/ip/thumbs/1-320.jpg
7697Z	Toyota	Sienna	LE	5TDKK3DC3ES425340	White	51,835	$17,934	http://www.irwinhyundai.com/assets/inventory/vehicles/5tdkk3dc3es425340/ip/thumbs/1-320.jpg
LHJT803A	Toyota	Tundra	4WD Truck SR5	5TFDY5F12EX394381	Black	28,708	$32,452	http://www.irwinhyundai.com/assets/inventory/vehicles/5tfdy5f12ex394381/ip/thumbs/1-320.jpg
HJC777A	Toyota	Corolla	L	5YFBURHE7EP120151	Black	73,875	$11,779	http://www.irwinhyundai.com/assets/inventory/vehicles/5yfburhe7ep120151/ip/thumbs/1-320.jpg
PP197	Toyota	Yaris	3Dr L	JTDJTUD31ED586473	Red	11,884	$11,012	http://www.irwinhyundai.com/assets/inventory/vehicles/jtdjtud31ed586473/ip/thumbs/1-320.jpg
HJT809A	Toyota	4Runner	SR5	JTEBU5JR9E5173075	Blue	27,974	$28,662	http://www.irwinhyundai.com/assets/inventory/vehicles/jtebu5jr9e5173075/ip/thumbs/1-320.jpg
CP426	Toyota	RAV4	LE	JTMBFREV4ED082833	Silver	33,498	$18,000	http://www.irwinhyundai.com/assets/inventory/vehicles/jtmbfrev4ed082833/ip/thumbs/1-320.jpg
HFT367AA	Volvo	XC90	3.2	YV4952CZ1E1690662	Silver	42,021	$31,129	http://www.irwinhyundai.com/assets/inventory/vehicles/yv4952cz1e1690662/ip/thumbs/1-320.jpg
HFT556A	Ford	Explorer	XLT	1FM5K8D82DGA22590	Red	91,623	$20,668	http://www.irwinhyundai.com/assets/inventory/vehicles/1fm5k8d82dga22590/ip/thumbs/1-320.jpg
HFT553A	Ford	Explorer	XLT	1FM5K8D84DGA81902	Gray	74,747	$22,095	http://www.irwinhyundai.com/assets/inventory/vehicles/1fm5k8d84dga81902/ip/thumbs/1-320.jpg
HFT479A	Ford	Escape	SE	1FMCU0GX6DUC92977	Gray	43,898	$13,314	http://www.irwinhyundai.com/assets/inventory/vehicles/1fmcu0gx6duc92977/ip/thumbs/1-320.jpg
LHJT830A	GMC	Sierra	1500 SLT	1GTR2WE73DZ258699	Silver	75,149	$25,414	http://www.irwinhyundai.com/assets/inventory/vehicles/1gtr2we73dz258699/ip/thumbs/1-320.jpg
CD556	Ford	Edge	SE	2FMDK3GC3DBA59797	Slate Metallic	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/2fmdk3gc3dba59797/ip/thumbs/1-320.jpg
CD557	Ford	Edge	SE	2FMDK4GC7DBA53359	Slate Metallic	<li class="mileageDisplay"><strong>Mileage: </strong>10</li>	N/A	http://www.irwinhyundai.com/assets/inventory/vehicles/2fmdk4gc7dba53359/ip/thumbs/1-320.jpg
HHT961A	Chevrolet	Equinox	LT	2GNFLNEKXD6213390	Black	84,626	$13,357	http://www.irwinhyundai.com/assets/inventory/vehicles/2gnflnekxd6213390/ip/thumbs/1-320.jpg
LHJT831B	Honda	CR-V	EX-L	2HKRM4H78DH618566	Black	61,556	$18,207	http://www.irwinhyundai.com/assets/inventory/vehicles/2hkrm4h78dh618566/ip/thumbs/1-320.jpg
HJT717B	Toyota	Corolla	S	2T1BU4EE3DC108164	Black	40,872	$12,328	http://www.irwinhyundai.com/assets/inventory/vehicles/2t1bu4ee3dc108164/ip/thumbs/1-320.jpg
HFT500A	Ford	Fusion	SE	3FA6P0HR7DR205870	White	28,758	$14,000	http://www.irwinhyundai.com/assets/inventory/vehicles/3fa6p0hr7dr205870/ip/thumbs/1-320.jpg
LHJT652A	Toyota	Tacoma	N/A	3TMLU4EN9DM118046	Black	37,180	$27,844	http://www.irwinhyundai.com/assets/inventory/vehicles/3tmlu4en9dm118046/ip/thumbs/1-320.jpg
HJC964A	Toyota	Camry	Hybrid XLE	4T1BD1FK3DU075913	Red	49,389	$14,414	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bd1fk3du075913/ip/thumbs/1-320.jpg
HJT856A	Toyota	Camry	SE	4T1BF1FK0DU241749	Gray	70,954	$12,334	http://www.irwinhyundai.com/assets/inventory/vehicles/4t1bf1fk0du241749/ip/thumbs/1-320.jpg
LHJT920A	Toyota	Sienna	XLE	5TDDK3DC0DS068903	Red	58,789	$24,464	http://www.irwinhyundai.com/assets/inventory/vehicles/5tddk3dc0ds068903/ip/thumbs/1-320.jpg
